"ecotype","DTF","Darker.axillae","Days.to.budding","Disk.diameter","Disk.to.phyllaries.diameter.ratio","Distance.of.first.branching.from.ground","Flower.FHDD.ratio","Flower.head.diameter","Flowerhead.to.phyllaries.diameter.ratio","Internode.length","LIR","Leaf.C.N.ratio","Leaf.area","Leaf.circular","Leaf.curved.height","Leaf.curved.shape.index","Leaf.curvedHeight.maxWidth","Leaf.distal.eccentricity","Leaf.eccentricity","Leaf.eccentricity.area.index","Leaf.ellipsoid","Leaf.height.mid.width","Leaf.maximum.height","Leaf.maximum.width","Leaf.obovoid","Leaf.perimeter","Leaf.proximal.eccentricity","Leaf.rectangular","Leaf.shape.index.external.I","Leaf.shape.index.external.II","Leaf.shape.index.internal","Leaf.total.C","Leaf.total.N","Leaf.width.mid.height","Leaf.width.widest.pos","Ligule.LW.ratio","Ligule.length","Ligule.width","Ligules.number","Petiole.main.veins.colour","Phyllaries.LW.ratio","Phyllaries.diameter","Phyllaries.length","Phyllaries.width","Plant.height.at.flowering","Primary.branches","RGB.proportion.blue","RGB.proportion.green","RGB.proportion.red","SLA","Seed.HW.ratio","Seed.area","Seed.circular","Seed.curved.height","Seed.curved.shape.index","Seed.distal.eccentricity","Seed.eccentricity","Seed.eccentricity.area.index","Seed.ellipsoid","Seed.height.mid.width","Seed.maximum.height","Seed.maximum.width","Seed.ovoid","Seed.perimeter","Seed.proximal.eccentricity","Seed.rectangular","Seed.shape.index.external.I","Seed.shape.index.external.II","Seed.shape.index.internal","Seed.width.mid.height","Seed.width.widest.pos","Stem.colour","Stem.diameter.at.flowering","Stem.diameter.final.after.5th.node","Stem.diameter.final.before.1st.node","TLN","Total.RGB","Trichomes.density.center.average","Trichomes.density.edge.average","Trichomes.density.leaf.center.flat.area","Trichomes.density.leaf.center.secondary.veins","Trichomes.density.leaf.edge.flat.area","Trichomes.density.leaf.edge.secondary.veins","Trichomes.density.nonvein.average","Trichomes.density.vein.average","Trichomes.length"
"north american desert",61,"1",35,4.231691478,0.549603164,7.6,2.808998926,11.87551284,1.543799524,8.572222222,0.514285714,7.459447612,11292.171,0.2651,219.6386,1.8625,2.246023111,0.7677,0.391,0.5604,0.1093,155.702,204.216,97.79,0.3428,673.2912,0.4876,0.3342,2.0883,2.1065,1.0064,42.954,5.758,73.914,0.6802,2.262180743,4.11281241,1.837551767,23.66666667,3,4.490172659,7.698778896,3.522534986,0.783888082,154.3,18,0.220920674,0.462214372,0.316864954,21.39073878,1.89897914613951,10.0968447510992,0.195991898396836,5.07192117930014,1.969005687751,0.852777967991138,0.755076928047574,0.403571939302237,0.057277675616989,4.8959857755066,4.94192815213139,2.68378306233426,0.275929724052303,13.3484822788168,0.877384782749449,0.469459058807901,1.85422757235764,1.9254253772834,1.83126382455105,2.56179958784717,0.365758866370283,1,35.4,30,36,18,180.042,41,45.5,30,52,53,38,41.5,45,3.329093878
"north american desert",50,"1",26,3.700973268,0.537566061,2.5,3.306116419,12.21728838,1.774533029,6.522222222,0.692307692,6.97855625,9420.4973,0.2279,178.5287,2.282,1.963320943,0.892,0.7541,0.3391,0.094,162.56,172.72,90.932,0.3649,474.2289,0.9209,0.3234,1.8994,2.1262,2.1333,41.801,5.99,76.454,0.6956,3.017449015,4.374912259,1.456107156,21,4,2.804892606,6.883492419,2.630696561,0.940849758,117.4,18,0.214880336,0.464100701,0.321018964,26.06667764,1.985898316,7.7208875,0.2074375,4.5187875,2.0668625,0.8104125,0.7105875,0.4383625,0.0575625,4.3166875,4.3603125,2.2754375,0.2768125,11.88015,0.8586875,0.49495,1.9269875,1.9827375,1.7363875,2.1907625,0.372525,2,29.1,31,42,18,194.001,24.5,26.5,24,25,34,19,29,22,2.425714286
"north american desert",52,"0",26,3.903326013,0.548423798,8,3.297290942,12.87001605,1.807322891,5.96,0.769230769,7.096833895,7961.6615,0.2163,159.8598,2.3462,1.793074904,0.8988,0.7857,0.3767,0.1089,144.272,149.606,89.154,0.5029,432.7727,0.8919,0.35,1.6781,2.2016,2.1792,41.818,5.892,65.532,0.7328,3.444387118,4.446692457,1.294408923,23,4,3.098422666,7.131286239,3.016510282,0.976014302,119.2,20,0.221559148,0.467709508,0.310731344,21.36211833,1.88660014090159,10.0034936574399,0.194099862485828,5.03708028145953,1.95535760507794,0.851787550445007,0.753632477665679,0.403750076168811,0.0571279812139898,4.85968917578114,4.90525388126764,2.68192780519227,0.275496529054628,13.2759149387329,0.876409232088845,0.468021667153552,1.84118603731795,1.91206092872944,1.81489446399146,2.55970911582657,0.366354062441643,2,34.1,39,43,20,172.094,51,41,27,75,48,34,37.5,54.5,3.424163265
"north american desert",50,"1",26,3.795906683,0.615616453,15,3.098364833,11.76009082,1.907429158,5.195238095,0.807692308,8.117854906,10878.5589,0.1932,179.8193,2.1323,1.796827411,0.8878,0.7948,0.3188,0.0812,176.276,177.292,100.076,0.3259,464.311,0.8892,0.3446,1.7716,2.0904,2.0985,39.974,4.924,84.328,0.7278,2.343664368,3.902054968,1.668495485,25,3,3.258644464,6.077477001,2.544139448,0.781226479,109.1,17,0.207702331,0.475621833,0.316675836,20.3642061,1.889856873,8.0072125,0.194825,4.487725,1.8956125,0.83805,0.74505,0.424925,0.05485,4.2849375,4.3351875,2.3746375,0.2584,11.783075,0.8831875,0.491,1.8283875,1.887,1.7762875,2.2741,0.3698875,2,27.8,36.5141487432953,42.9407680467269,21,172.675,57,36,59,55,49,23,54,39,3.019493878
"north american desert",44,"1",20,3.859161084,0.706027055,6.5,3.027946268,11.5864912,2.127079447,5.1625,0.8,6.435387273,9052.6916,0.2084,164.8067,2.0876,1.73953157,0.8577,0.7387,0.436,0.1065,150.622,157.734,94.742,0.4841,456.1302,0.8774,0.3468,1.6649,2.1408,2.0818,41.258,6.411,70.358,0.7646,2.7258601,3.952671858,1.446026922,18.66666667,3,3.19018151,5.464235868,2.174804453,0.683070812,82.6,13,0.232687863,0.449970078,0.317342059,20.24304919,1.88462106555672,9.94543444899274,0.193802983341383,5.01491195855596,1.95393069774543,0.851758990630212,0.754295669839665,0.404616751676237,0.0570758817138654,4.83787679251476,4.88281407530459,2.67356625940867,0.276525145863214,13.2241367799834,0.877331981737196,0.469916492983595,1.83900426495112,1.91036006691215,1.81530516988184,2.55088708911315,0.365511680590353,3,27.6,24,34,16,182.141,50.5,39.5,47,54,49,30,48,42,4.102383673
"north american desert",52,"0",27,5.068697742,0.477505154,16.5,3.045173633,15.44956717,1.454457771,6.363157895,0.703703704,7.533157732,13821.7788,0.1487,221.965,1.9751,1.723625153,0.8444,0.6336,0.4527,0.1119,138.176,174.244,128.778,0.5266,648.9035,0.833,0.3562,1.3531,1.2564,1.2616,43.568,5.784,109.982,0.7711,3.41920304,5.363581324,1.580077823,30.66666667,2,2.492871334,10.61812865,4.043518206,1.625347704,120.9,16,0.245155162,0.442859569,0.311985269,17.7749213,2.379852621,12.6238875,0.2560125,6.3219,2.47945,0.857875,0.7599,0.3922375,0.0600125,6.1608125,6.2137375,2.656425,0.23385,15.7493125,0.8768125,0.4805875,2.3527125,2.4210625,2.2872625,2.5598375,0.386625,1,37.6,42,46,19,188.448,83.5,71,61,106,87,55,74,80.5,3.688408163
"north american desert",67,"1",32,6.576390125,0.552757691,23,2.853468177,18.75727119,1.575437827,7.613636364,0.6875,8.083546073,19849.1861,0.1522,246.6717,1.7288,1.496376618,0.9161,0.6749,0.4034,0.1345,177.292,205.74,164.846,0.4613,780.9,0.9025,0.3399,1.2481,1.358,1.2757,42.889,5.306,130.556,0.7222,2.798907831,6.565402022,2.3466278,28.33333333,2,2.592248566,12.34039159,4.691333742,1.811138759,167.5,19,0.22426561395689,0.462074370073656,0.313660015546013,27.99208306,1.876637959412,10.0760032838755,0.191937540099378,5.04060096640252,1.94461907383195,0.849016684414578,0.751616789926594,0.404851633254425,0.0564393641255493,4.86314898782233,4.90843957233019,2.69829823592356,0.272744360412612,13.3082978330401,0.876680407241994,0.469127585437057,1.8313309108935,1.89961328992983,1.79764559409267,2.57908613513193,0.368395303192534,3,39.6,40,42,22,174.3441981792,62.5,41,66,59,50,32,58,45.5,2.868269388
"north american desert",53,"0",26,4.441102819,0.648649994,16,3.371138381,14.96701233,2.185567853,6.904545455,0.846153846,8.407108899,16176.0322,0.1323,194.6656,1.5863,1.401096892,0.8876,0.6493,0.4506,0.0909,150.876,185.674,138.938,0.4149,576.2216,0.8827,0.3467,1.3364,1.2774,1.2811,43.325,5.153,118.11,0.6799,3.390142969,5.424204184,1.607638493,28.5,2,3.382864485,6.856517722,2.808431237,0.832071573,151.9,20,0.2292298,0.461720284,0.309049916,19.55280092,1.722187876,8.3881875,0.1667375,4.4222125,1.7452875,0.8236,0.7315375,0.421425,0.048875,4.2201,4.2558375,2.5677875,0.2429,12.013675,0.875325,0.4808375,1.6636625,1.7090125,1.5651875,2.4791375,0.3911375,0,39.7,46,44.1359834569853,22,164.996,65,46,80,50,53,39,66.5,44.5,3.124653061
"north american desert",65,"1",37,4.103659701,0.47479912,9,3.579555332,14.64254173,1.701938145,8.277777778,0.72972973,9.18009532,6636.6964,0.1997,155.4423,2.0598,1.768721269,0.8975,0.6353,0.5053,0.1234,124.206,129.794,87.884,0.5026,434.1299,0.7152,0.318,1.4769,2.0546,1.62,32.617,3.553,60.452,0.7532,3.13338066,5.199118186,1.687991436,22,2,3.919564835,8.68159168,3.816829059,0.85035197,223.5,24,0.228511222,0.457430821,0.314057957,19.48530945,1.823525349,9.5751375,0.1844625,4.9501875,1.8741125,0.8593375,0.7527125,0.3832625,0.0552,4.778375,4.8299875,2.714625,0.2562125,13.1007375,0.8692875,0.4377125,1.7805,1.839125,1.75185,2.6008625,0.3763,3,53.4,44,78,27,183.654,55.5,41.5,58,53,53,30,55.5,41.5,3.41044898
"north american desert",68,"1",39,4.251884745,0.539478196,16,3.32613076,14.1239892,1.791821103,7.18,0.769230769,11.11054514,15054.2925,0.166,196.8064,1.7315,1.492925523,0.7787,0.4974,0.4858,0.1026,187.96,194.31,131.826,0.2981,612.2273,0.624,0.323,1.474,1.7577,0.9453,43.671,3.931,106.934,0.6501,2.942189756,5.001686541,1.694479872,28.66666667,3,3.202748245,7.851692265,2.738399004,0.865163674,215.4,30,0.224163292,0.466321989,0.309514719,15.82663215,1.88339306566678,10.0183275933611,0.193032866397829,5.03902425889278,1.95131134964651,0.850320376661862,0.753176414037471,0.404056297829667,0.0567191316930275,4.86221341301565,4.90775182904896,2.68779349818144,0.27408726965289,13.2898685894794,0.877859365725612,0.46886675586048,1.83803728242214,1.90742834740167,1.81110716512926,2.56759952829958,0.368424781547394,3,41.1,43,48,30,159.763,61,57,75,47,70,44,72.5,45.5,2.565844898
