"population_id","sitename","longitude","latitude","Ecoregions","individual_id","genotype_id","DTF","Darker.axillae","Days.to.budding","Disk.diameter","Disk.to.phyllaries.diameter.ratio","Distance.of.first.branching.from.ground","Flower.FHDD.ratio","Flower.head.diameter","Flowerhead.to.phyllaries.diameter.ratio","Internode.length","LIR","Leaf.C.N.ratio","Leaf.area","Leaf.circular","Leaf.curved.height","Leaf.curved.shape.index","Leaf.curvedHeight.maxWidth","Leaf.distal.eccentricity","Leaf.eccentricity","Leaf.eccentricity.area.index","Leaf.ellipsoid","Leaf.height.mid.width","Leaf.maximum.height","Leaf.maximum.width","Leaf.obovoid","Leaf.perimeter","Leaf.proximal.eccentricity","Leaf.rectangular","Leaf.shape.index.external.I","Leaf.shape.index.external.II","Leaf.shape.index.internal","Leaf.total.C","Leaf.total.N","Leaf.width.mid.height","Leaf.width.widest.pos","Ligule.LW.ratio","Ligule.length","Ligule.width","Ligules.number","Petiole.main.veins.colour","Phyllaries.LW.ratio","Phyllaries.diameter","Phyllaries.length","Phyllaries.width","Plant.height.at.flowering","Primary.branches","RGB.proportion.blue","RGB.proportion.green","RGB.proportion.red","SLA","Seed.HW.ratio","Seed.area","Seed.circular","Seed.curved.height","Seed.curved.shape.index","Seed.distal.eccentricity","Seed.eccentricity","Seed.eccentricity.area.index","Seed.ellipsoid","Seed.height.mid.width","Seed.maximum.height","Seed.maximum.width","Seed.ovoid","Seed.perimeter","Seed.proximal.eccentricity","Seed.rectangular","Seed.shape.index.external.I","Seed.shape.index.external.II","Seed.shape.index.internal","Seed.width.mid.height","Seed.width.widest.pos","Stem.colour","Stem.diameter.at.flowering","Stem.diameter.final.after.5th.node","Stem.diameter.final.before.1st.node","TLN","Total.RGB","Trichomes.density.center.average","Trichomes.density.edge.average","Trichomes.density.leaf.center.flat.area","Trichomes.density.leaf.center.secondary.veins","Trichomes.density.leaf.edge.flat.area","Trichomes.density.leaf.edge.secondary.veins","Trichomes.density.nonvein.average","Trichomes.density.vein.average","Trichomes.length"
"ANN_34","Utah",-112.26423,40.69149,"NORTH AMERICAN DESERTS","ANN1139","ANN1139",58,0,35,5.318572615,0.520479912,9,3.358558693,17.85662766,1.747550433,7.38,0.571428571,7.801375521,10630.0433,0.1519,172.9728,1.446,1.665025124,0.8898,0.6948,0.4002,0.0859,136.398,156.718,103.886,0.4282,570.8758,0.8682,0.4206,1.5086,1.6472,1.4558,44.422,5.694,82.804,0.7639,3.366200308,6.219283992,1.85105368,29.33333333,3,2.886027712,10.23232764,4.458112956,1.543868419,147.6,17,0.205912378,0.470287667,0.323799955,24.4144311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,35.8,39,44,20,186.118,89.5,58.5,104,75,49,68,76.5,71.5,2.681681633
"ANN_34","Utah",-112.26423,40.69149,"NORTH AMERICAN DESERTS","ANN1140","ANN1140",72,1,35,NA,NA,23,NA,NA,NA,9.670833333,0.685714286,8.697715494,11084.623,0.1388,177.1292,1.8019,1.532657264,0.8298,0.6536,0.3215,0.0955,141.478,168.91,115.57,0.306,517.5041,0.8346,0.3265,1.4615,1.4393,1.269,42.168,4.848,98.298,0.6298,NA,NA,NA,NA,4,NA,NA,NA,NA,232.1,18,0.233949789,0.45034283,0.31570738,26.06306842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,31.4,27,31,24,187.848,59.5,66,77,42,83,49,80,45.5,3.695510204
"ANN_35","Utah",-109.51947,40.51274,"NORTH AMERICAN DESERTS","ANN1141","ANN1141",49,0,24,3.178058016,0.4146275,19,3.835981318,12.21547697,1.592538319,5.973684211,0.791666667,6.9897271,10469.1404,0.144,167.9076,1.4958,1.573937008,0.8872,0.7841,0.3741,0.0897,150.368,153.162,106.68,0.3993,477.4693,0.899,0.3906,1.4357,1.7209,1.7226,43.779,6.263,87.376,0.7297,2.722974742,4.435108945,1.603076318,20.33333333,3,3.703357222,7.69469598,3.364998698,0.909496729,113.5,16,0.209725594,0.47216209,0.318112316,23.26475644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,34.8,NA,NA,19,182.467,69,74,91,47,92,56,91.5,51.5,4.044
"ANN_35","Utah",-109.51947,40.51274,"NORTH AMERICAN DESERTS","ANN1142","ANN1142",64,1,34,5.049571341,0.585614068,24,3.524367822,17.851906,2.06784383,8.633333333,0.705882353,6.608264973,18214.6732,0.1425,216.132,1.6353,1.392656933,0.9429,0.7686,0.2571,0.1186,169.926,191.262,155.194,0.3723,734.0725,0.9554,0.3468,1.2324,1.4204,1.2511,43.268,6.547,119.634,0.6494,3.571626615,6.03813866,1.615307811,30,0,3.330195413,8.610601986,3.69109524,1.109935138,207.2,18,0.229793533,0.45734629,0.312860177,24.57788854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,38.2,48,43,24,170.923,63,48.5,73,53,56,41,64.5,47,4.077526531
"ANN_35","Utah",-109.51947,40.51274,"NORTH AMERICAN DESERTS","ANN1143","ANN1143",43,0,20,4.371572193,0.57443909,12,3.130829889,13.55984736,1.735545897,7.270588235,0.85,6.493887302,5540.7631,0.1324,126.6391,1.7934,1.618763422,0.8895,0.7218,0.4027,0.0929,100.33,110.744,78.232,0.4287,325.413,0.9023,0.3752,1.4156,1.5134,1.5096,40.867,6.293,66.294,0.6674,2.736819079,4.907802693,1.799743905,21.25,3,2.72875576,7.635716541,3.16372469,1.159652992,123.6,17,0.200923288,0.474482648,0.324594064,38.9919993,1.66307232,13.1405625,0.16435,5.5310875,1.7619875,0.8481375,0.7590625,0.38925,0.0584125,5.4345375,5.468925,3.325825,0.287925,14.9667625,0.8859625,0.4280375,1.651325,1.7418875,1.6896375,3.1339875,0.3582625,2,27.9,32,42,17,212.718,71,54,84,58,76,32,80,45,3.914693878
"ANN_35","Utah",-109.51947,40.51274,"NORTH AMERICAN DESERTS","ANN1144","ANN1144",36,0,12,3.914997498,0.567017394,12,4.114138326,15.54658577,2.267492573,4.17,0.833333333,6.672274976,4374.7009,0.2502,124.2442,2.7217,1.903308925,0.8812,0.6225,0.5035,0.1206,89.916,115.316,65.278,0.5185,359.9856,0.865,0.3119,1.7665,1.8534,1.8553,43.321,6.493,48.514,0.7291,4.016320455,5.986887587,1.554889747,17.66666667,1,2.908233234,6.847222397,2.914996068,1.00572268,41.7,8,0.207308217,0.468924584,0.323767198,23.29446699,1.813369709,11.9766,0.1885375,5.4504,1.920825,0.8679625,0.7625125,0.39285,0.0614,5.3181375,5.3472375,3.005675,0.32255,14.631375,0.868925,0.4606875,1.780925,1.883375,1.7881875,2.8270625,0.3411375,0,12.2,22,29,10,206.562,123.5,227.5,156,91,297,158,226.5,124.5,4.237959184
"ANN_35","Utah",-109.51947,40.51274,"NORTH AMERICAN DESERTS","ANN1145","ANN1145",50,1,26,4.654086877,0.494564225,17.5,3.855321537,17.9408016,1.905889138,5.940909091,0.846153846,7.430749731,11788.8151,0.1522,178.1157,1.7705,1.575826772,0.8905,0.7306,0.3852,0.0925,149.86,167.132,113.03,0.3442,511.6378,0.8587,0.3737,1.4787,1.5691,1.6107,43.14,5.806,95.504,0.6637,2.690110836,6.826896105,2.57737625,22,2,2.934978956,9.472402102,3.960738664,1.350904454,130.7,18,0.21741399,0.465215501,0.317370509,24.40243242,1.58757517,13.136375,0.1523625,5.349275,1.6586625,0.879175,0.7870375,0.373525,0.0551125,5.2466875,5.27315,3.3694625,0.2946375,14.6267375,0.8875125,0.439,1.56615,1.644625,1.6386125,3.1935125,0.3602375,3,35,31,41,22,183.99,51.5,57.5,68,35,80,35,74,35,3.448653061
"ANN_35","Utah",-109.51947,40.51274,"NORTH AMERICAN DESERTS","ANN1146","ANN1146",57,0,33,4.745721695,0.582346692,21,3.319307339,15.74626714,1.932177418,8.5,0.575757576,7.061377974,12341.4592,0.1867,214.8096,2.3092,1.999307533,0.8339,0.6805,0.394,0.1058,162.052,183.896,107.442,0.4287,671.098,0.9336,0.3953,1.7116,1.7576,1.64,44.114,6.247,92.202,0.6746,3.177840166,5.60990441,1.767224179,24.66666667,3,2.47012512,8.158758014,3.262728493,1.321841195,161.5,16,0.216694166,0.469038352,0.314267482,25.90022917,1.740535459,13.2437125,0.1782625,5.5308125,1.809775,0.8504125,0.76255,0.409575,0.0570625,5.4041125,5.4451125,3.17765,0.286775,15.0225625,0.887825,0.4749125,1.713975,1.7859125,1.7248625,3.0268375,0.360525,3,48.1,38,48,19,173.941,86,71,78,94,87,55,82.5,74.5,4.404489796
"ANN_35","Utah",-109.51947,40.51274,"NORTH AMERICAN DESERTS","ANN1147","ANN1147",48,0,22,4.323296911,0.584174363,21,2.96895259,12.77118655,1.722143383,5.029411765,0.772727273,5.970355008,11649.9122,0.1295,182.9258,1.7959,1.614754069,0.902,0.6459,0.4058,0.0869,151.13,163.068,113.284,0.3266,514.8408,0.8008,0.3646,1.4395,1.5415,1.2545,42.567,7.13,98.044,0.6503,2.529965508,4.258516362,1.687748523,22,2,3.083426596,7.59340515,3.216898607,1.054493467,85.5,13,0.193471022,0.487860653,0.318668325,27.93074131,1.739439994,10.090375,0.1697375,4.9014375,1.8093625,0.8700625,0.771075,0.390375,0.0560125,4.7347125,4.7730875,2.817825,0.2976,13.190975,0.879325,0.4655625,1.6956,1.7764875,1.7233625,2.668325,0.3357125,0,28,43,44,17,179.293,19,21,16,22,36,6,26,14,4.066285714
"ANN_35","Utah",-109.51947,40.51274,"NORTH AMERICAN DESERTS","ANN1148","ANN1148",43,1,20,3.613613107,0.484516526,2,3.70495519,13.3341598,1.789534973,5.426315789,0.95,6.689309094,8226.5642,0.1642,148.6858,1.8831,1.608179026,0.8667,0.7002,0.3034,0.0933,133.096,141.732,92.456,0.3877,450.8521,0.8333,0.3664,1.533,1.7703,1.3448,43.969,6.573,75.184,0.7002,2.982473756,4.919766154,1.672239652,26,3,3.18746838,7.518746523,3.279585901,1.028913821,103.1,15,0.208092752,0.470063688,0.32184356,23.77619711,1.997017513,12.8934875,0.216575,5.875575,2.1080125,0.753475,0.674,0.464825,0.0612875,5.7560125,5.802325,2.942175,0.286775,15.6491875,0.8715875,0.4680625,1.9793875,2.0740125,1.7435125,2.783425,0.3509125,2,24.5,31,39,19,195.014,53,44.5,52,54,59,30,55.5,42,2.605934694
"ANN_35","Utah",-109.51947,40.51274,"NORTH AMERICAN DESERTS","ANN1149","ANN1149",45,0,20,3.790751326,0.480386635,24,3.704853775,14.02099559,1.776633871,4.944444444,0.9,6.433450662,10691.656,0.2275,189.07,2.299,1.879722421,0.8877,0.7292,0.4845,0.1112,160.02,170.942,100.584,0.5679,570.2471,0.8291,0.3701,1.6995,2.25,2.2072,44.347,6.893,71.12,0.7832,3.758315813,5.145492905,1.384426897,20.75,2,3.051955092,7.879727921,3.529357386,1.158437885,89,14,0.213843585,0.468109269,0.318047146,19.06840735,1.983519954,13.2240875,0.2122625,5.927675,2.06855,0.8561625,0.758625,0.4046,0.0593,5.7811375,5.8327375,2.9884625,0.27925,15.5454,0.878825,0.4738625,1.9561375,2.0383125,1.9478875,2.8416375,0.362725,4,25.2,35,47,18,177.873,26,38,18,34,44,32,31,33,3.315967347
"ANN_35","Utah",-109.51947,40.51274,"NORTH AMERICAN DESERTS","ANN1150","ANN1150",46,0,22,4.572111214,0.530886816,20,2.930701772,13.37873802,1.551462544,5.405263158,0.863636364,6.48231671,8269.5964,0.1706,144.3711,2.0013,1.601099035,0.9067,0.7486,0.42,0.0847,127,138.684,90.17,0.492,404.8477,0.8967,0.4188,1.538,1.7606,1.7586,41.896,6.463,72.136,0.7857,2.81057479,4.573103603,1.643234546,21,2,2.932027452,8.641266655,3.696194788,1.271905615,102.7,13,0.190629267,0.483632036,0.325738697,23.5601037,1.83578479,12.3814,0.1921,5.549325,1.9358625,0.8468125,0.7495125,0.402925,0.05685,5.4504125,5.48215,3.0228625,0.27305,14.8207125,0.8746,0.4543625,1.8267625,1.9132125,1.803775,2.866775,0.3670875,0,23.4,30,41,19,188.203,34,37,50,18,49,25,49.5,21.5,3.523102041
"ANN_36","Wyoming",-107.45885,41.77426,"NORTH AMERICAN DESERTS","ANN1151","ANN1151",47,0,21,6.232517891,0.516118103,19.5,2.703554646,16.74829538,1.392557662,5.526315789,0.904761905,7.133843156,8765.4018,0.1788,165.9149,1.6525,1.845221095,0.9032,0.7304,0.4319,0.0947,132.334,146.304,89.916,0.4991,458.992,0.8485,0.4048,1.6271,1.7483,1.7949,43.301,6.07,75.692,0.7525,2.704722774,5.687796322,2.152102786,24.33333333,3,2.983322966,12.06247978,5.006632346,1.679156606,105,13,0.228846825,0.455392969,0.315760206,20.5423056,1.614769515,13.4494875,0.1484625,5.41955,1.67785,0.8498375,0.746975,0.40155,0.05315,5.2665375,5.323425,3.3562375,0.2705375,15.2324625,0.87125,0.4745875,1.5877625,1.6351375,1.5327625,3.227925,0.37195,1,33.1,36,42,19,183.424,118,93,91,145,83,103,87,124,3.742285714
"ANN_36","Wyoming",-107.45885,41.77426,"NORTH AMERICAN DESERTS","ANN1152","ANN1152",50,0,22,5.321530801,0.567361406,17.5,2.745423606,14.58247242,1.55621403,6.183333333,0.818181818,7.70721586,13223.4574,0.1387,183.4969,1.6752,1.453578954,0.8684,0.7207,0.4229,0.1139,150.368,163.068,126.238,0.4924,551.7144,0.9094,0.3798,1.2918,1.5025,1.4172,43.812,5.685,100.076,0.6518,2.511911053,4.995349278,2.001845437,24.33333333,3,3.089376989,9.383284915,3.976934526,1.288494476,111.3,14,0.224690778,0.460163092,0.315146129,17.9935466,1.95060294,12.3302125,0.2109875,5.708025,2.0467625,0.8789875,0.767475,0.387525,0.06385,5.566825,5.6237,2.9262875,0.2901,14.985425,0.8680125,0.4502,1.926975,2.012175,1.9341625,2.778125,0.3563125,0,30.5,30,38,18,178.917,99,69.5,93,105,91,48,92,76.5,3.832897959
"ANN_36","Wyoming",-107.45885,41.77426,"NORTH AMERICAN DESERTS","ANN1153","ANN1153",35,0,9,4.993421917,0.485646472,20.5,2.880708373,14.64844482,1.415780029,4.953333333,1.666666667,7.146675501,9919.5285,0.1642,159.6355,1.5426,1.471864685,0.8889,0.8,0.3768,0.1105,154.94,155.194,108.458,0.4904,457.567,0.8905,0.3367,1.4309,1.9427,1.952,42.902,6.003,79.756,0.7267,2.540519722,4.799693271,1.899139446,21.5,3,3.478032608,9.324391792,4.017186094,1.152411281,74.3,10,0.209284764,0.467927091,0.322788145,20.70450532,1.919921829,10.3092625,0.20385,5.133175,1.9843625,0.8206375,0.7269875,0.425675,0.0585,4.994,5.03105,2.6736375,0.2786875,13.7368375,0.8727625,0.4814125,1.8898125,1.973375,1.76285,2.543975,0.362525,0,20,31,36,15,184.065,63.5,50.5,78,49,61,40,69.5,44.5,3.61444898
"ANN_36","Wyoming",-107.45885,41.77426,"NORTH AMERICAN DESERTS","ANN1154","ANN1154",32,0,9,3.858933389,0.535116285,20.5,3.358324843,12.7407218,1.792043181,4.538461538,1.444444444,6.95830838,6537.0837,0.1206,130.0232,1.4084,1.537244331,0.8173,0.5279,0.508,0.0789,109.982,118.618,84.582,0.2449,362.5274,0.6474,0.3693,1.4024,1.4728,0.9535,41.521,5.967,74.676,0.5963,2.743804684,4.48841016,1.645650296,21.5,4,2.794927299,7.18298014,3.071912865,1.091331453,59,10,0.233189911,0.443176081,0.323634009,17.31677801,1.978267228,10.2600625,0.2150875,5.2420125,2.071825,0.828175,0.7386375,0.419025,0.063025,5.101175,5.150125,2.6498,0.293575,13.690075,0.881425,0.4615875,1.9450375,2.044825,1.8956625,2.49765,0.3606125,2,13.1,NA,20,13,182.212,67,34,96,38,47,21,71.5,29.5,4.287673469
