"Ecoregions","Total.RGB","Primary.branches","RGB.proportion.red","Total_Leaf_Number","Phyllaries.length","Leaf.total.N","Specific_Leaf_Area","Leaf.C.N.ratio","Seed.rectangular","Leaf.shape.index.external.I","Seed.maximum.height","Seed.curved.height","Seed.proximal.eccentricity","Ligule.width","Seed.area","Seed.height.mid.width","Seed.perimeter","Flower.FHDD.ratio","Days.to.budding","Disk.diameter","Leaf.shape.index.internal","Phyllaries.diameter","Seed.width.mid.height","Phyllaries.width","Seed.maximum.width","Flower.head.diameter","Seed.ellipsoid","Ligules.number","Stem.colour","RGB.proportion.blue","Stem.diameter.at.flowering","Plant.height.at.flowering","Distance.of.first.branching.from.ground","Days_to_flowering"
"NORTH AMERICAN DESERTS",178.1,16,0.313374509,19,3.224769874,7.136,24.99294175,6.096885673,0.464225,1.2804,5.5231875,5.63775,0.888725,2.19229591,13.988575,5.496725,15.245075,3.474403324,32,4.719345175,1.3243,8.68771653,3.1882375,1.395736956,3.3641625,16.37435195,0.054875,24.66666667,1,0.226704099,37.7,144.9,20,53
"NORTH AMERICAN DESERTS",186.782,18,0.317991027,21,5.22916144,7.102,24.2547923640266,5.871204965,0.4793875,1.512,5.3736875,5.55595,0.8854875,2.112638766,14.4979375,5.263875,15.3835875,3.333871626,21,5.424124503,1.4719,11.72302149,3.38005,2.053903611,3.530875,18.05850807,0.05555,24.33333333,2,0.208826332,39.8,161.3,22,48
"NORTH AMERICAN DESERTS",175.312,16,0.312191978,18,4.045228349,6.774,24.924275,6.225107159,0.44455,1.4856,5.012525,5.1335,0.862175,1.73793562175176,9.7740625,4.9715375,13.3982125,3.098228491,21,5.15282144,1.6529,10.95207328,2.5148625,1.641618358,2.6313,15.96565461,0.05775,29,4,0.237958611,40.3,147,29.5,57
"NORTH AMERICAN DESERTS",167.315,15,0.307886322,17,4.8819421,6.334,17.12459449,6.75662305,0.4577125,1.6579,4.8088125,4.98215,0.80895,1.642202494,8.559625,4.7691375,12.7549,3.381113639,20,4.086857662,1.7664,10.05437245,2.2754125,1.226816574,2.370675,13.76740295,0.0564125,22,0,0.24616442,33.1,131.6,12.5,45
"NORTH AMERICAN DESERTS",171.728,17,0.310735582,21,4.862270721,5.962,17.5321311,7.46498213,0.4199875,1.553,5.3207625,5.4327375,0.8869375,1.716227186,9.6158875,5.2810875,13.5456625,3.243988917,26,5.742644376,1.2517,10.97375672,2.3561125,1.406963258,2.4884125,17.96525397,0.0646,33,0,0.237375384,35.3,180.4,11,61
"NORTH AMERICAN DESERTS",171.272,15,0.314108552,18,3.021851628,6.237,25.58488254,6.688398443,0.4494625,1.4296,4.9437375,5.0888125,0.8866625,1.915660097,10.0852875,4.86835,13.2677,3.307878307,22,4.760274487,1.8819,8.179678073,2.610125,1.331594481,2.755625,15.74520576,0.05795,24.33333333,2,0.208668084,32.4,134.1,22,51
"GREAT PLAINS",175.151,17,0.312530331,19,3.623068771,6.293,25.79931958,6.767887513,0.470525263979849,1.4722,5.1111393802443,5.23279798851009,0.877841410131603,1.222317556,10.9925575477429,5.05739642686148,13.8873370558107,3.11330603,25,4.776028262,1.0617,9.752217671,2.6976876450906,1.068750222,2.8262044549882,14.8467756,0.0568421885222083,29.33333333,1,0.24534259,35.6,160.9,28,62
"GREAT PLAINS",163.322,18,0.306333501,19,5.309911247,5.161,15.79310985,8.257689379,0.44645,1.4069,5.5112625,5.62115,0.873275,1.272825607,11.2133375,5.458375,14.3899625,3.082485195,22,5.651552229,1.3186,11.72147442,2.616725,1.384961361,2.754325,17.39455268,0.0589625,32,2,0.256915786,33.4,113.5,12,54
"GREAT PLAINS",176.234089035838,22.353221298366,0.314656665766521,26,3.48886518248881,5.6447990639571,23.7498949091485,7.78086126547069,0.469438704234528,1.51264846843839,5.11620445217203,5.2371807345937,0.877587306459714,1.7346248913123,11.0320020696606,5.06572926075637,13.9049453954635,3.36551884652789,33,4.59304691620664,1.6251538198578,8.62797908953,2.70744516821239,1.15191377767605,2.83519250486598,15.2252727307233,0.0564821319234769,25.538618009922,1,0.221315168262371,35.7757949835141,161.95835131056,14.9127033089161,59.0525030907998
"GREAT PLAINS",146.913,27,0.305255491,29,4.626448726,5.244,22.30843881,8.25426638,0.4633375,1.4982,4.729425,4.8495,0.887025,1.345668111,9.6155875,4.68445,12.7588125,2.338719128,35,6.254395467,1.6452,10.52548359,2.5677875,1.327939616,2.7014125,14.60787292,0.05605,33.66666667,0,0.207741997,37.9,243,21,68
