"","latitude","longitude","sitename","individual_id","population_id","genotype_id","Predicted","Actual","Outcome"
"65",40.69149,-112.26423,"Utah","ANN1135","ANN_34","ANN1135","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"66",40.69149,-112.26423,"Utah","ANN1138","ANN_34","ANN1138","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"67",40.69149,-112.26423,"Utah","ANN1139","ANN_34","ANN1139","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"68",40.51274,-109.51947,"Utah","ANN1143","ANN_35","ANN1143","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"69",40.51274,-109.51947,"Utah","ANN1145","ANN_35","ANN1145","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"70",40.51274,-109.51947,"Utah","ANN1147","ANN_35","ANN1147","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"71",40.51274,-109.51947,"Utah","ANN1150","ANN_35","ANN1150","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"72",41.77426,-107.45885,"Wyoming","ANN1151","ANN_36","ANN1151","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"73",41.77426,-107.45885,"Wyoming","ANN1156","ANN_36","ANN1156","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"74",40.48679,-105.09619,"Colorado","ANN1161","ANN_37","ANN1161","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"75",40.48679,-105.09619,"Colorado","ANN1162","ANN_37","ANN1162","NORTH AMERICAN DESERTS","GREAT PLAINS","Incorrectly_Predicted"
"76",40.48679,-105.09619,"Colorado","ANN1164","ANN_37","ANN1164","NORTH AMERICAN DESERTS","GREAT PLAINS","Incorrectly_Predicted"
"77",40.48679,-105.09619,"Colorado","ANN1170","ANN_37","ANN1170","NORTH AMERICAN DESERTS","GREAT PLAINS","Incorrectly_Predicted"
"78",38.44118,-98.63231,"Kansas","ANN1176","ANN_38","ANN1176","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"79",38.44118,-98.63231,"Kansas","ANN1178","ANN_38","ANN1178","NORTH AMERICAN DESERTS","GREAT PLAINS","Incorrectly_Predicted"
"80",37.45911,-97.9179,"Kansas","ANN1182","ANN_39","ANN1182","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"81",37.45911,-97.9179,"Kansas","ANN1183","ANN_39","ANN1183","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"82",37.45911,-97.9179,"Kansas","ANN1188","ANN_39","ANN1188","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"83",37.45911,-97.9179,"Kansas","ANN1189","ANN_39","ANN1189","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"84",37.45911,-97.9179,"Kansas","ANN1190","ANN_39","ANN1190","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"85",37.23327,-98.66459,"Kansas","ANN1191","ANN_40","ANN1191","NORTH AMERICAN DESERTS","GREAT PLAINS","Incorrectly_Predicted"
"86",37.23327,-98.66459,"Kansas","ANN1193","ANN_40","ANN1193","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"87",36.80874,-98.22242,"Oklahoma","ANN1201","ANN_41","ANN1201","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"88",36.80874,-98.22242,"Oklahoma","ANN1203","ANN_41","ANN1203","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
